SVMacc,
SVMacc,
0,3896.151049
1,3847.032363
2,3715.447349
3,3835.62785
4,4287.456239
5,3855.153564
6,5365.590182
7,3812.118833
8,4053.498489
9,3675.970348
10,3799.592741
11,4030.124068
12,4159.801558
13,4079.218675
14,3992.284183
15,3984.186115
16,4190.018735
17,3862.826944
18,3863.402257
19,3847.137507
20,4098.079306
21,4711.308735
22,3752.709021
23,4379.094655
24,3796.426741
25,3876.767984
26,3422.987292
27,5186.279206
28,3643.631979
29,3908.398265
30,4769.051583
31,4373.852878
32,3677.483515
33,4450.870252
34,4233.828291
35,4010.461569
36,4015.911603
37,3846.113493
38,4132.886401
39,4192.43545
40,4132.356471
41,3788.724719
42,3431.873395
43,3863.292508
44,5060.813571
45,3875.58473
46,4052.158684
47,3993.483817
48,4075.120121
49,3649.536135
50,3601.041794
51,5870.342494
52,3894.962387
53,4382.379491
54,4130.521154
55,3959.168347
56,4342.086365
57,4503.798064
58,3186.224882
59,4177.315645
60,3811.10404
61,3896.602879
62,3854.957587
63,4303.66646
64,4025.681185
65,4202.929455
66,4173.023604
67,4227.884696
68,4005.412962
69,3971.547054
70,3991.547319
71,3964.134836
72,4074.263246
73,4215.676102
74,3688.771882
75,3981.074478
76,4048.581603
77,3996.58867
78,4002.221008
79,4034.305516
80,4043.76619
81,4009.421529
82,4020.477832
83,4030.615462
84,4048.325209
85,4023.511277
86,4047.208174
87,4043.529523
88,4051.350762
89,4040.563451
90,4034.516204
91,4039.38931
92,4047.526776
93,4042.409925
94,4033.45745
95,4041.238795
96,4021.647797
97,4045.762969
98,4038.294318
99,4026.695047
100,4024.310624
101,4044.721251
102,4030.215007
103,4042.64876
104,4028.74931
105,4025.699194
106,4032.356259
107,4059.739277
108,4029.317684
109,4051.175385
110,4032.166291
111,4033.260964
112,4036.591755
113,4032.22544
114,4030.371323
115,4028.446971
116,4009.656594
117,4024.894781
118,4043.524329
119,4032.480378
120,4036.369656
121,4037.588637
122,4033.411707
123,4050.640073
124,4014.409172
125,4035.294661
126,4029.530246
127,4022.338126
128,4005.021348
129,4042.34004
130,4025.616599
131,4024.302797
132,4027.486934
133,4032.231268
134,4025.805509
135,4020.409556
136,4042.556617
137,4053.311486
138,4028.20357
139,4034.885005
140,4020.403214
141,4029.601717
142,4048.18836
143,4041.348042
144,4035.382262
145,4044.552509
146,4038.572149
147,4027.277741
148,4038.472484
149,4029.643409
150,4033.491044
151,4022.48729
152,4031.407447
153,4037.75024
154,4034.657482
155,4049.336489
156,4035.5359
157,4038.24764
158,4029.537318
159,4029.44686
160,4038.586015
161,4033.607442
162,4020.342771
163,4040.515437
164,4041.620838
165,4023.24384
166,4036.306852
167,4039.28719
168,4011.93158
169,4032.359607
170,4029.210965
171,4024.850432
172,4008.356895
173,4022.865645
174,4030.68679
175,4025.114905
176,4030.574153
177,4019.719642
178,4037.268136
179,4027.223734
180,4032.644418
181,4025.83184
182,4020.422863
183,4038.432369
184,4025.505807
185,4026.439122
186,4028.505554
187,4006.230897
188,4021.49599
189,4019.3028
190,4045.746161
191,4036.664588
192,4030.775732
193,4047.316395
194,4026.262907
195,4043.418603
196,4019.41762
197,4022.591205
198,4024.589544
199,4025.371784
200,4040.350727
201,4032.620984
202,4016.291324
203,4033.469722
204,4018.245388
205,4024.326031
206,4026.406959
207,4012.347069
208,4028.429471
209,4031.646562
210,4030.482601
211,4033.560338
212,4011.549077
213,4017.560703
214,4036.69989
215,4019.468995
216,4038.24083
217,4025.164593
218,4039.189399
219,4006.335982
220,4025.418363
221,4017.255157
222,4046.423606
223,4055.406022
224,4025.350047
225,4029.644525
226,4040.416439
227,4029.269661
228,4023.765649
229,4029.441773
230,4028.377837
231,4037.190483
232,4015.270601
233,4027.675384
234,4033.546083
235,4026.164179
236,4045.463261
237,4024.144754
238,4030.325173
239,4035.513598
240,4033.240137
241,4044.415656
242,4041.701251
243,4037.617367
244,4020.73451
245,4034.649675
246,4031.235419
247,4036.572804
248,4034.566767
249,4019.184121
250,4030.402213
251,4090.5991
252,4031.279077
253,4023.323253
254,4009.650733
255,4023.71582
256,4012.369998
257,4026.116864
258,4019.533057
259,4028.448461
260,4025.255396
261,4039.568665
262,4008.738954
263,4025.363959
264,4031.12106
265,4022.365598
266,4041.256612
267,4038.382845
268,4009.205657
269,4008.277934
270,4041.7469
271,4026.19088
272,4024.346034
273,4030.322568
274,4022.38847
275,4030.443276
276,4037.424179
277,4039.526086
278,4042.286111
279,4042.507761
280,4041.70323
281,4043.29989
282,4027.397919
283,4010.606937
284,4033.409724
285,4027.378676
286,4027.306047
287,4020.654797
288,4042.512214
289,4037.429628
290,4035.44917
291,4015.207342
292,4014.455007
293,4012.498474
294,4030.317233
295,4032.605113
296,4024.596502
297,4024.125371
298,4041.493041
299,4016.675864
